Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-260.9069	-354.3941	93.4872	0.75371	0.190516	0.0455285	0.0102452	1.354387	0.5058803	0.9043667	1.239701
6	-265.9461	-359.1961	93.25001	0.813479	0.162063	0.0111293	0.0133291	0.7111227	0.930866	0.5497494	2.031483
12	-260.474	-354.2999	93.82584	0.39493	0.407456	0.162025	0.0355887	0.7111227	0.7586322	1.082986	1.1001
18	-274.2951	-368.5627	94.26753	0.29573	0.497786	0.153938	0.0525458	0.1425715	0.5979581	1.076935	1.1001
24	-268.5402	-362.5063	93.96613	0.441426	0.473436	0.0777735	0.00736453	1.023718	0.410423	1.621954	0.2580743
30	-284.8278	-376.0019	91.17406	0.603913	0.166197	0.200901	0.0289889	3.466959	0.75849	1.886307	0.6124651
36	-281.1199	-375.1496	94.0297	0.460263	0.269995	0.165843	0.103899	0.154956	0.3717394	1.830939	0.6317974
42	-267.268	-361.0812	93.8132	0.434131	0.397083	0.153464	0.0153214	0.8299629	1.259068	0.8291407	0.7350321
48	-270.8507	-365.1696	94.31891	0.118301	0.652787	0.208133	0.0207794	0.8542773	1.195336	0.6850442	0.3600609
54	-277.7798	-370.1635	92.3837	0.434696	0.260956	0.269549	0.0347981	1.212119	0.411448	1.578953	1.870863
60	-268.686	-363.416	94.73002	0.263331	0.405017	0.316926	0.0147257	0.4343913	0.1453211	1.697268	0.2698848
66	-272.7811	-364.4821	91.70106	0.453343	0.519611	0.020545	0.0065015	1.06448	0.118983	1.624986	3.501606
72	-279.3874	-373.1121	93.7247	0.665866	0.285851	0.0391257	0.0091571	1.229209	1.456247	0.6846944	0.2134178
78	-262.3595	-356.7173	94.35775	0.367288	0.547268	0.0850193	0.000424512	0.5702208	1.486588	0.4130637	0.3693978
84	-265.3051	-359.8885	94.58338	0.0579449	0.829413	0.112368	0.000274884	0.2960631	1.371599	0.8125692	0.3693978
90	-259.1431	-353.7281	94.58499	0.0581679	0.904979	0.0354404	0.00141271	0.42833	1.144016	0.9873151	0.3381688
96	-259.4065	-351.9922	92.58564	0.298388	0.535491	0.158874	0.00724686	0.6534822	0.7242052	1.663368	1.787142
102	-266.0074	-356.5225	90.5151	0.343257	0.357826	0.0846831	0.214234	0.6534822	1.005867	0.6530923	7.783067
108	-267.296	-358.8696	91.57366	0.402238	0.26572	0.099234	0.232808	1.539393	1.075002	0.6302676	3.110009
114	-270.0962	-362.6569	92.56065	0.639646	0.0156892	0.128894	0.215771	1.250556	1.141527	0.6648876	1.897049
120	-257.5294	-349.6804	92.15107	0.560626	0.163355	0.0985539	0.177465	2.258304	1.141527	0.4770891	1.458232
126	-261.1132	-351.1613	90.04818	0.582494	0.0970296	0.159548	0.160929	3.048964	1.18494	0.6500685	3.725136
132	-262.059	-353.6887	91.62972	0.528528	0.172997	0.210862	0.0876128	3.048964	1.200748	0.7720374	1.283675
138	-270.2378	-353.3006	83.06277	0.5012	0.164053	0.158904	0.175842	17.22459	1.25163	0.765298	11.39026
144	-265.4995	-356.2882	90.78871	0.0664384	0.736753	0.0555171	0.141291	0.4662723	0.9680969	0.8784918	7.180798
150	-258.6652	-352.4334	93.76814	0.0729982	0.611325	0.184833	0.130844	0.8004221	0.8585588	1.115338	0.927765
156	-263.1663	-356.5705	93.40418	0.158326	0.593251	0.197004	0.0514199	0.270111	1.109603	1.028313	1.680098
162	-255.575	-347.092	91.51694	0.133806	0.592337	0.166494	0.107363	0.5536665	0.5824945	1.402572	4.59823
168	-257.7062	-351.2398	93.53358	0.431335	0.0770387	0.423415	0.0682113	0.704914	0.4280431	1.269007	1.557961
174	-261.7281	-354.3597	92.63161	0.666689	0.119074	0.108806	0.10543	0.3659298	0.8731211	0.9723901	3.163687
180	-265.8542	-360.4639	94.60961	0.440723	0.232158	0.297177	0.0299408	0.4563795	0.9060729	1.144412	0.3682076
186	-259.7144	-352.928	93.2136	0.76259	0.0688851	0.115575	0.0529499	1.484287	0.7492992	0.895712	1.158242
192	-272.1436	-365.1944	93.05079	0.651729	0.0662136	0.252646	0.0294108	0.476612	0.682884	1.340525	2.03189
198	-264.5374	-355.5638	91.02634	0.195788	0.213237	0.287119	0.303856	2.144951	0.8595864	0.7580336	3.493015
204	-277.053	-364.0778	87.02482	0.531405	0.112171	0.260995	0.0954297	3.0213	0.5607988	1.487317	12.15893
210	-261.0303	-353.2052	92.17486	0.595796	0.124595	0.0945372	0.185071	1.528142	0.7292669	1.436344	1.619956
216	-268.4615	-355.2144	86.75286	0.664262	0.130049	0.0494074	0.156282	16.73249	0.739667	1.458721	1.841105
222	-263.1975	-355.1463	91.94875	0.527973	0.445132	0.0110538	0.0158412	1.319828	0.5146278	1.03147	3.228927
228	-263.5737	-354.3137	90.74001	0.538414	0.404157	0.0532854	0.00414372	1.420993	0.5990938	0.8876087	5.707884
234	-259.1996	-353.1897	93.99012	0.351654	0.429781	0.160255	0.0583095	0.7160589	0.9660376	0.717426	1.041337
240	-258.4624	-350.6862	92.22379	0.272282	0.54806	0.137622	0.042036	1.425838	1.000651	1.044495	1.91204
246	-261.6975	-355.3076	93.61008	0.0716055	0.722448	0.180054	0.0258916	1.475468	1.078004	0.906209	0.4450196
252	-264.9713	-357.7913	92.82008	0.328468	0.407582	0.10568	0.15827	0.2800084	0.8330044	0.8078849	3.236723
258	-263.8061	-354.4805	90.67434	0.566686	0.271518	0.0536638	0.108131	1.534448	1.373567	0.4991598	4.311719
264	-264.0722	-358.1988	94.12664	0.433573	0.156634	0.135919	0.273873	0.4816374	0.8455656	1.066156	0.9675132
270	-253.547	-345.9156	92.36866	0.24014	0.451796	0.0887211	0.219343	1.115315	0.3277351	1.417925	2.430927
276	-262.4119	-356.6648	94.25288	0.214386	0.672233	0.02798	0.0854007	0.8271872	0.5262864	1.278583	0.5741967
282	-273.9481	-359.757	85.80895	0.255332	0.280879	0.443477	0.0203124	3.397647	1.443723	0.6509647	16.89164
288	-265.8618	-357.9312	92.06937	0.543138	0.0699588	0.343695	0.0432083	1.102435	0.7978486	0.8190398	3.219917
294	-274.0103	-367.0963	93.08593	0.267602	0.111323	0.546911	0.0741636	0.9243696	1.012707	0.639801	1.811673
300	-264.4195	-354.3016	89.88205	0.319109	0.376154	0.188489	0.116248	3.65063	0.4681918	1.804976	2.467335
306	-256.0382	-349.5432	93.50499	0.348416	0.160395	0.0913649	0.399824	0.2095034	0.7105233	1.014864	2.068367
312	-268.3421	-361.2066	92.86451	0.118964	0.433551	0.25305	0.194436	0.4711765	0.3934593	1.798371	1.847274
318	-269.8936	-360.747	90.8534	0.283715	0.527587	0.139325	0.0493727	2.035964	0.5993419	1.639094	2.6829
324	-262.7583	-355.5263	92.76796	0.418536	0.200953	0.188047	0.192464	1.541525	0.638482	1.021418	1.590312
330	-261.3672	-355.9604	94.59313	0.456215	0.230499	0.0668316	0.246455	0.5415622	1.330054	0.4051552	0.2633208
