Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-260.9069	-354.3941	93.4872	0.00571337	0.00592113	0.0197519	0.0137608	0.00904405	0.0101478	0.00359702	0.0140273	0.041057	0.00683184	0.0299234	0.004749	0.0270312	0.00265961	0.0149596	0.022138	0.0228551	0.0062395	0.0246374	0.00336847	0.00379736	0.0134187	0.0243136	0.0105783	0.0272552	0.00883197	0.0106863	8.51189e-05	0.00584599	0.00182167	0.0231009	0.0227978	0.037316	0.0465032	0.00649868	0.00342367	0.00723562	0.0362484	0.00365089	0.0249248	0.0204244	0.0154927	0.0210671	0.0108776	0.00752239	5.7526e-05	0.04032	0.010075	0.00395251	0.00158756	0.0128918	0.0525191	0.0044791	0.0089508	0.0146682	0.0130164	0.000638053	0.0175671	0.00934152	0.0263822	0.00578795	0.75371	0.190516	0.0455285	0.0102452	1.354387	0.16248	0.394656	0.605345	0.83752	0.496769	0.710909	0.899019	1.11232	1.40665	2.01301	0.5058803	0.00631754	0.00654726	0.0218406	0.015216	0.0100004	0.0112208	0.00397739	0.0155106	0.0453986	0.00755428	0.0330876	0.00525119	0.0298897	0.00294085	0.0165416	0.024479	0.025272	0.00689931	0.0272427	0.00372468	0.00419892	0.0148377	0.0268847	0.0116969	0.0301373	0.00976592	0.0118164	9.41199e-05	0.00646419	0.00201431	0.0255438	0.0252086	0.041262	0.0514207	0.00718589	0.00378571	0.00800076	0.0400815	0.00403696	0.0275605	0.0225841	0.017131	0.0232949	0.0120279	0.00831785	6.36092e-05	0.0445837	0.0111404	0.00437047	0.00175543	0.014255	0.0580728	0.00495275	0.00989731	0.0162193	0.0143928	0.000705525	0.0194247	0.0103294	0.029172	0.0064	0.9043667	1.239701	0.151498	0.389307	0.610693	0.848503
36	-281.1199	-375.1496	94.0297	0.0333303	0.000917707	0.0147497	0.00372336	0.0153945	0.0382256	0.0266272	0.0706003	0.02449	0.00166794	0.0414364	0.0163259	0.0130589	0.00740995	0.00930491	0.0297613	0.0175555	0.0140112	0.0350814	0.000272851	0.0103289	0.0337554	0.023423	0.00346689	0.0225179	0.012919	0.00604597	0.0260593	0.0122991	0.0242365	0.0765668	0.0299151	0.00717974	0.0222728	0.00393986	0.00754353	0.059243	0.048881	0.0395134	0.00263629	0.0516433	0.0340418	0.033877	0.0364523	0.00408636	0.00376083	0.0834093	5.64189e-05	0.0548525	0.0870617	0.106913	0.0325675	0.0173543	0.104539	0.0394034	0.0400316	0.0426917	0.0732647	0.0403258	0.0126466	0.0452716	0.460263	0.269995	0.165843	0.103899	0.154956	0.00123844	0.165593	0.834407	0.998762	0.598031	0.778229	0.924757	1.08137	1.28497	1.67216	0.3717394	0.0182039	0.000501222	0.00805582	0.00203358	0.00840796	0.0208776	0.0145429	0.0385596	0.0133756	0.000910977	0.0226312	0.00891666	0.00713238	0.00404707	0.00508205	0.0162547	0.00958826	0.00765248	0.0191603	0.000149023	0.0056413	0.0184361	0.0127929	0.0018935	0.0122986	0.00705597	0.00330211	0.0142327	0.00671735	0.0132372	0.0418183	0.0163387	0.00392134	0.0121647	0.00215183	0.00412004	0.0323566	0.0266972	0.021581	0.00143986	0.0282059	0.0185926	0.0185025	0.0199091	0.00223184	0.00205404	0.0455555	3.08142e-05	0.0299587	0.0475503	0.0583925	0.0177873	0.00947838	0.0570957	0.0215209	0.021864	0.0233168	0.0400148	0.0220247	0.00690714	0.0247259	1.830939	0.6317974	0.0723894	0.337145	0.662855	0.927611
72	-279.3874	-373.1121	93.7247	0.0152418	0.0128431	0.00146199	0.0115899	0.00983789	0.00998909	0.0037022	0.00876324	0.0156796	0.00750871	0.0155892	0.002394	0.00193028	0.0121678	0.00888228	0.0219514	0.012716	0.00439263	0.0181361	0.00291685	0.00222374	0.0143917	0.00171314	0.0347279	0.00383162	0.000472719	0.00182894	0.000419866	0.000963038	0.00100367	0.0140242	0.00360689	0.00155545	0.00408786	0.00969954	0.0267278	0.00684868	0.019682	0.0216543	0.0106822	0.00996169	0.00440079	0.0239845	0.0274797	0.00159533	0.0033524	0.00295781	0.0231066	0.0358025	0.0129713	0.0296337	0.0190047	0.0106012	0.0190907	0.00698254	0.0238677	0.00256005	0.00156707	0.0368389	0.00708651	0.00400942	0.665866	0.285851	0.0391257	0.0091571	1.229209	0.150443	0.388777	0.611223	0.849557	0.133456	0.374477	0.736066	1.35857	2.67039	7.49309	1.456247	0.0222608	0.0187574	0.00213525	0.0169272	0.0143683	0.0145891	0.00540708	0.0127988	0.0229001	0.0109665	0.0227681	0.00349645	0.00281919	0.0177711	0.0129726	0.0320602	0.0185718	0.00641546	0.0264879	0.00426007	0.00324778	0.0210192	0.00250206	0.0507202	0.0055961	0.000690409	0.00267118	0.000613216	0.00140652	0.00146586	0.0204825	0.00526788	0.00227175	0.00597034	0.0141662	0.0390361	0.0100025	0.0287457	0.0316263	0.0156013	0.0145491	0.00642738	0.0350295	0.0401342	0.00232998	0.0048962	0.0043199	0.0337473	0.0522898	0.0189446	0.0432802	0.0277564	0.0154832	0.0278821	0.010198	0.0348589	0.00373897	0.00228871	0.0538034	0.0103499	0.00585578	0.6846944	0.2134178	0.00516859	0.207004	0.792996	0.994831
108	-267.296	-358.8696	91.57366	0.012256	0.000735578	0.00330711	0.00656161	0.0441461	0.00548647	0.000865973	0.00633334	0.0198106	0.0141896	0.00470162	0.00133171	0.00977528	0.0130977	0.00737522	0.00567789	0.00331741	0.00405573	0.0153576	0.00715295	0.001118	0.0189584	0.00238913	0.000813097	0.00432169	0.000775789	0.0057222	0.00164565	0.0153735	0.00462636	0.00476905	0.0163904	0.000740029	0.0100484	0.00302586	0.0257633	0.0188184	0.00929741	0.018367	0.00930177	0.00227599	0.00397291	0.0159737	0.0147528	0.0160482	0.00680736	0.00276717	0.0125322	0.0375666	0.00795328	0.0373765	0.00556137	0.00640125	0.0103958	0.00699406	0.0117831	0.015655	0.00735499	0.0228398	0.0176282	0.00982658	0.402238	0.26572	0.099234	0.232808	1.539393	0.178312	0.401886	0.598114	0.821688	0.226113	0.484287	0.79755	1.25384	2.06489	4.42257	1.075002	0.0194458	0.00116709	0.00524715	0.0104108	0.0700434	0.00870499	0.00137398	0.0100487	0.031432	0.0225136	0.00745972	0.00211292	0.0155097	0.0207811	0.0117017	0.00900869	0.0052635	0.00643494	0.0243668	0.0113491	0.00177385	0.0300799	0.00379066	0.00129008	0.00685692	0.00123089	0.009079	0.00261103	0.024392	0.00734032	0.0075667	0.0260055	0.00117415	0.0159431	0.00480092	0.0408767	0.0298578	0.0147515	0.0291415	0.0147585	0.00361114	0.00630352	0.0253443	0.0234071	0.0254625	0.0108008	0.00439047	0.019884	0.0596043	0.0126189	0.0593026	0.00882382	0.0101564	0.0164942	0.011097	0.0186954	0.0248387	0.0116696	0.0362382	0.0279695	0.0155911	0.6302676	3.110009	0.259729	0.432901	0.567099	0.740271
144	-265.4995	-356.2882	90.78871	0.00447951	0.000404425	0.00566152	0.000763816	0.00243272	0.00671779	0.00531825	0.0221463	0.0274865	0.0212503	0.000219327	0.00523751	0.0114959	0.00627477	0.00963603	0.00361896	0.0403811	0.00581497	0.0121058	0.00109455	0.00153385	0.000743039	0.0132767	0.0196078	0.00402364	0.00128445	0.0258128	0.00763042	0.0143311	0.00854808	0.00930715	0.0681027	0.0239113	0.0180432	0.0165018	0.01077	0.00330101	0.0494496	0.0441396	0.00541836	0.00107289	0.0280068	0.00497496	0.0213697	0.000831835	0.00434567	0.00461401	0.0219556	0.0352212	0.00644384	0.0641046	0.00144019	0.0364722	0.0181926	0.00117412	0.020187	0.00841542	0.00109075	0.013395	0.0326611	0.0142459	0.0664384	0.736753	0.0555171	0.141291	0.4662723	0.0438891	0.305907	0.694093	0.956111	0.262141	0.520497	0.815695	1.22595	1.92124	3.81474	0.9680969	0.00509909	0.000460363	0.0064446	0.000869463	0.0027692	0.00764696	0.00605384	0.0252094	0.0312882	0.0241895	0.000249664	0.00596193	0.013086	0.00714266	0.0109688	0.00411951	0.0459664	0.00661926	0.0137802	0.00124595	0.001746	0.000845812	0.0151131	0.0223199	0.00458017	0.00146211	0.0293831	0.00868582	0.0163134	0.0097304	0.0105945	0.0775223	0.0272186	0.0205388	0.0187842	0.0122596	0.00375758	0.0562891	0.0502448	0.0061678	0.00122128	0.0318806	0.00566307	0.0243254	0.00094689	0.00494674	0.0052522	0.0249924	0.0400928	0.00733511	0.0729712	0.00163938	0.0415168	0.0207089	0.00133652	0.0229791	0.00957939	0.00124162	0.0152477	0.0371786	0.0162163	0.8784918	7.180798	0.336503	0.456585	0.543416	0.663497
180	-265.8542	-360.4639	94.60961	0.00107642	0.00407988	0.0106035	0.00234115	0.0190838	0.0298505	0.0110268	0.0322782	0.0323904	0.00730762	0.0168929	0.0258259	0.0376708	0.014519	0.0325999	0.000845719	0.0406365	0.00659056	0.0414365	0.000850073	0.00734843	0.0133606	0.00941687	0.00611878	0.0155308	0.000256668	0.00610823	0.00139047	0.000704929	0.0124707	0.0133752	0.0340651	0.018041	0.0257091	0.00545201	0.0155336	0.0357759	0.0109181	0.0636585	0.0170821	0.00560345	0.0125941	0.0174453	0.0152336	0.00934467	0.0118561	0.0157572	0.0584883	0.103495	0.00919548	0.0265133	0.000249694	0.00372854	0.00284423	0.0114091	0.0108806	0.0223198	0.0485328	0.0286664	0.0357077	0.0143227	0.440723	0.232158	0.297177	0.0299408	0.4563795	0.0421399	0.303511	0.696489	0.95786	0.28562	0.542734	0.826411	1.21005	1.84252	3.50116	0.9060729	0.000940584	0.00356504	0.0092655	0.00204572	0.0166756	0.0260837	0.00963536	0.0282051	0.0283031	0.00638548	0.0147612	0.022567	0.0329172	0.0126868	0.0284862	0.000738999	0.0355086	0.00575891	0.0362077	0.000742803	0.00642114	0.0116746	0.00822857	0.00534666	0.013571	0.000224279	0.00533744	0.00121501	0.000615975	0.0108971	0.0116874	0.0297665	0.0157644	0.0224649	0.00476403	0.0135735	0.0312614	0.00954033	0.0556255	0.0149266	0.00489636	0.0110049	0.0152439	0.0133113	0.00816548	0.01036	0.0137688	0.0511077	0.0904354	0.00803511	0.0231676	0.000218185	0.00325804	0.00248532	0.00996943	0.00950759	0.0195033	0.0424085	0.025049	0.0312018	0.0125153	1.144412	0.3682076	0.0267761	0.278236	0.721764	0.973224
216	-268.4615	-355.2144	86.75286	0.002163	0.0190907	0.0082306	0.0291235	0.0410886	0.00261086	0.0179952	0.0195837	0.033726	0.0436159	0.00947283	0.0230343	0.0113243	0.0289796	0.00937917	0.0171521	0.00465816	0.0118144	0.0969346	0.0135851	0.0270481	0.00924228	0.00389447	0.0173667	0.00124053	0.000761154	0.0170798	0.00457179	0.0076075	0.0399648	0.0210828	0.0461182	0.00821934	0.0250927	0.0493829	0.0454804	0.00783609	0.0161353	0.0556823	0.0107472	0.00941077	0.00544156	0.00364741	0.0205204	0.00949578	0.0176619	0.0449451	0.0595601	0.0861282	0.0105377	0.0905248	0.0228528	0.00993111	0.00477536	0.0561975	0.00856127	0.0397236	0.0264802	0.0232953	0.0417694	0.00914412	0.664262	0.130049	0.0494074	0.156282	16.73249	0.391325	0.471777	0.528224	0.608674	0.359531	0.6072	0.855861	1.16841	1.64691	2.7814	0.739667	0.00148281	0.0130873	0.00564234	0.0199651	0.0281676	0.00178983	0.0123363	0.0134252	0.0231203	0.0299001	0.00649393	0.0157907	0.00776314	0.0198665	0.00642972	0.0117583	0.00319332	0.00809914	0.0664518	0.00931303	0.0185423	0.00633588	0.00266979	0.0119054	0.000850421	0.000521795	0.0117087	0.0031341	0.00521518	0.0273971	0.0144529	0.0316155	0.00563462	0.0172018	0.0338535	0.0311783	0.00537189	0.0110612	0.038172	0.00736755	0.00645138	0.00373036	0.00250042	0.0140674	0.00650966	0.0121078	0.0308113	0.0408304	0.0590437	0.00722393	0.0620577	0.0156664	0.00680809	0.00327366	0.0385252	0.00586902	0.0272318	0.018153	0.0159697	0.0286343	0.00626859	1.458721	1.841105	0.200117	0.411075	0.588925	0.799883
252	-264.9713	-357.7913	92.82008	0.000753352	0.00093736	0.00371227	0.0111222	0.00568528	0.0212497	0.010539	0.0115176	0.00839839	0.0164831	0.00140492	0.00166582	0.0135668	0.015659	0.00659374	0.00637053	0.0101589	0.00702367	0.0525278	0.00149985	0.00121033	0.00498807	0.0186946	0.00122941	0.000723206	0.00352713	0.00742914	0.00159369	0.000855031	0.0223289	0.0266528	0.0450014	0.00221979	0.00175523	0.0175109	0.0209493	0.00268227	0.0140358	0.0405333	0.00143515	0.0166618	0.00546853	0.0204468	0.00738538	0.00415128	0.010617	0.0170234	0.0205974	0.0328597	0.0123928	0.0828745	0.000221761	0.0116237	0.00626194	0.0540386	0.00280495	0.0226201	0.0115739	0.0119544	0.0132283	0.000854109	0.328468	0.407582	0.10568	0.15827	0.2800084	0.0129918	0.243208	0.756792	0.987008	0.315991	0.570152	0.839215	1.19159	1.75392	3.16464	0.8330044	0.000932499	0.00116026	0.00459505	0.0137671	0.00703724	0.0263028	0.0130452	0.0142565	0.0103955	0.0204028	0.00173901	0.00206196	0.0167929	0.0193827	0.00816173	0.00788544	0.0125747	0.0086939	0.0650189	0.00185652	0.00149814	0.00617424	0.0231402	0.00152177	0.000895185	0.00436588	0.00919579	0.00197266	0.00105836	0.0276387	0.0329909	0.0557027	0.00274766	0.00217263	0.021675	0.025931	0.00332011	0.0173735	0.0501721	0.00177642	0.020624	0.00676895	0.025309	0.00914162	0.00513846	0.0131418	0.0210716	0.0254954	0.0406738	0.0153398	0.102582	0.000274496	0.0143878	0.00775102	0.066889	0.00347197	0.0279992	0.0143262	0.0147971	0.0163739	0.00105722	0.8078849	3.236723	0.263935	0.434303	0.565697	0.736065
288	-265.8618	-357.9312	92.06937	0.0026882	0.00088541	0.013326	0.0214189	0.0240393	0.00103002	0.00960774	0.0282489	0.0303747	0.0145833	0.0135972	0.0154213	0.00222906	0.00718252	0.00323843	0.0151522	0.0122869	0.00608297	0.00261285	0.00105746	0.00555615	0.0107003	0.0010485	0.00228328	0.00849913	0.00216322	0.00197363	0.0290643	0.00496665	0.00042492	0.0288301	0.0055807	0.00063739	0.00830845	0.00845906	0.00910415	0.0105658	0.0271753	0.0104734	0.0151088	0.0314003	0.0641328	1.8099e-05	0.00455012	0.0274106	0.0433663	0.0128448	0.0211721	0.0151638	0.00567968	0.0105028	0.0105726	0.0263822	0.00464616	0.0222614	0.0553319	0.00351399	0.00984615	0.00999106	0.0100784	0.0141875	0.543138	0.0699588	0.343695	0.0432083	1.102435	0.136967	0.381735	0.618265	0.863033	0.331735	0.583833	0.845447	1.18281	1.71282	3.01446	0.7978486	0.00328214	0.00108103	0.0162703	0.0261512	0.0293506	0.0012576	0.0117305	0.0344903	0.0370858	0.0178053	0.0166014	0.0188285	0.00272156	0.00876944	0.00395394	0.0185	0.0150016	0.00742695	0.00319013	0.0012911	0.00678373	0.0130644	0.00128016	0.00278776	0.0103769	0.00264116	0.00240969	0.0354859	0.00606399	0.000518803	0.0351999	0.00681371	0.000778216	0.0101441	0.010328	0.0111156	0.0129002	0.0331795	0.0127874	0.018447	0.038338	0.0783025	2.20978e-05	0.00555543	0.0334668	0.0529478	0.0156828	0.0258499	0.0185141	0.00693456	0.0128234	0.0129085	0.0322111	0.00567269	0.0271799	0.0675571	0.00429038	0.0120216	0.0121985	0.0123051	0.0173221	0.8190398	3.219917	0.26339	0.434122	0.565878	0.73661
324	-262.7583	-355.5263	92.76796	0.00356757	0.00126739	0.00852984	0.0329545	0.00260586	0.000924698	0.0177458	0.0253578	0.0279973	0.0130594	0.0111776	0.00962324	0.0237543	0.0182813	0.00123075	0.00367735	0.0045542	0.00918581	0.0313609	0.00602897	0.00956378	0.000885734	0.00274338	0.000609478	0.0198391	0.0065855	0.0166658	0.0183563	0.0120892	0.00195354	0.0602651	0.00675678	0.0209975	0.018314	0.0191279	0.0172632	0.00130502	0.0272174	0.0240091	0.0176646	0.00424549	0.00671686	0.00640741	0.00737277	0.0176217	0.00537346	0.00766288	0.0539203	0.0886322	0.00751787	0.0795492	0.0171885	0.00735322	0.024219	0.022593	0.013871	0.0199177	0.0182606	0.0123258	0.0182751	0.0272969	0.418536	0.200953	0.188047	0.192464	1.541525	0.178483	0.401961	0.598039	0.821517	0.413533	0.650087	0.87428	1.1438	1.53826	2.41818	0.638482	0.00349277	0.00124081	0.00835098	0.0322635	0.00255122	0.000905309	0.0173737	0.0248261	0.0274102	0.0127855	0.0109432	0.00942146	0.0232562	0.017898	0.00120495	0.00360024	0.0044587	0.00899319	0.0307033	0.00590255	0.00936324	0.000867161	0.00268585	0.000596698	0.0194231	0.00644741	0.0163164	0.0179714	0.0118357	0.00191258	0.0590014	0.0066151	0.0205572	0.01793	0.0187268	0.0169012	0.00127765	0.0266466	0.0235057	0.0172942	0.00415647	0.00657602	0.00627305	0.00721817	0.0172522	0.00526078	0.0075022	0.0527897	0.0867737	0.00736023	0.0778811	0.0168281	0.00719903	0.0237112	0.0221193	0.0135801	0.0195001	0.0178777	0.0120674	0.0178919	0.0267246	1.021418	1.590312	0.182312	0.403634	0.596366	0.817688
